AANHITW	Hilton Al Ain
RDUCLHX	Hampton Inn Raleigh/Clayton
RDUCMES	Embassy Suites by Hilton Raleigh/Crabtree
RDUCOHX	Hampton Inn and Suites Chapel Hill-Carrboro/Downtown, NC
RDUCTHW	Homewood Suites by Hilton Raleigh/Crabtree Valley
RDUCUQQ	The Franklin Hotel Chapel Hill, Curio Collection By Hilton+++
RDUCYHX	Hampton Inn and Suites Raleigh/Cary
RDUDADT	DoubleTree by Hilton Raleigh Durham Airport
RDUDHHF	Hilton Durham
RDUDMHW	Homewood Suites by Hilton Raleigh-Durham Aprt @ RTP
RDUDNDT	DoubleTree by Hilton Brownstone-University
RDUDWHX	Hampton Inn and Suites Raleigh Downtown, NC
RDUGIGI	Hilton Garden Inn Raleigh-Durham/Research Triangle Park
RDUGNHX	Hampton Inn Raleigh/Garner
RDUHHHX	Hampton Inn Raleigh Capital Blvd. North
RDUHSHX	Hampton Inn and Suites Holly Springs, NC
RDUHWHW	Homewood Chapel Hill/Durham
RDUIIDT	DoubleTree Suites by Hilton Raleigh-Durham
RDUMCGI	Hilton Garden Inn Durham/University Medical Center
RDUMVHX	Hampton Inn Raleigh Durham Airport
RDUNCHX	Hampton Inn Raleigh North
RDUNEGI	Hilton Garden Inn Raleigh Triangle Town Center, NC
RDUNHHF	Hilton North Raleigh
RDUNOHX	Hampton Inn and Suites Durham-North I-85, NC
RDURCGI	Hilton Garden Inn Raleigh-Cary, NC
RDUSPGI	Hilton Garden Inn Durham Southpoint, NC
RDUWFHX	Hampton Inn Raleigh/Town of Wake Forest
RDUWLHX	Hampton Inn Wilson-Downtown, NC
REXHAHX	Hampton Inn Reynosa, Mexico
RFDAGHX	Hampton Inn DeKalb (Near the University), IL
RFDILGI	Hilton Garden Inn Rockford, IL
RFDOHHX	Hampton Inn Richfield
RFPNJHX	Hampton Inn Ridgefield Park
RHLCTHX	Hampton Inn Rocky Hill/Harford
RICAIGI	Hilton Garden Inn Richmond Airport, VA
RICAPHW	Homewood Suites by Hilton Richmond Airport
RICARHX	Hampton Inn Richmond-Airport, VA
RICCHHX	Hampton Inn Chester
RICCOHX	Hampton Inn Petersburg-Southpark Mall
RICCSHW	Homewood Suites by Hilton Chester
RICDNES	Embassy Suites by Hilton Richmond-The Commerce Center
RICDOHW	Homewood Suites by Hilton Richmond-Downtown
RICEMHX	Hampton Inn & Suites Richmond - Downtown, VA
RICGLHX	Hampton Inn and Suites Richmond/Glenside, VA
RICIBGI	Hilton Garden Inn Richmond Innsbrook
RICKSDT	DoubleTree by Hilton Richmond Midlothian
RICMDHX	Hampton Inn Richmond Midlothian Turnpike
RICMVHX	Hampton Inn Richmond/Mechanicsville
RICPCHX	Hampton Inn Richmond Southwest
RICRDHH	Hilton Richmond Downtown
RICSOHX	Hampton Inn Richmond-South, VA
RICSPGI	Hilton Garden Inn Richmond South/Southpark, VA
RICVCHX	Hampton Inn and Suites Richmond-Virginia Ctr
RICWEHX	Hampton Inn Richmond West
RICWSHF	Hilton Richmond Hotel & Spa Short Pump Town Center
RICWTHW	Homewood Suites by Hilton Richmond West End - Innsbrook
RIDHSHX	Hampton Inn and Suites Richmond, IN
RIFUTHX	Hampton Inn Richfield, UT
RILCOHX	Hampton Inn and Suites Rifle, CO
RIOABHH	Hilton Barra Rio De Janeiro
RIWWYHX	Hampton Inn and Suites Riverton, WY
RKFILHX	Hampton Inn Rockford
RKHRHGI	Hilton Garden Inn Rock Hill
RKSHHHX	Hampton Inn Rock Springs, WY
RKSWYHW	Homewood Suites by Hilton Rock Springs, WY
RKTAHHI	Hilton Al Hamra Beach & Golf Resort
RKTDTDI	DoubleTree by Hilton Ras Al Khaimah
RKTMIDI	DoubleTree by Hilton Resort  & Spa Marjan Island
RKTRSHI	Hilton Ras Al Khaimah Resort & Spa
RKTWAWA	Waldorf Astoria Ras Al Khaimah
RLBKDT	DoubleTree by Hilton Bakersfield
RLDUDT	DoubleTree by Hilton Durango
RLDVDT	DoubleTree by Hilton Denver
RLDWAHW	Homewood Suites by Hilton Richland, WA
RLLCDT	DoubleTree by Hilton Portland-Lloyd Center
RLMVDT	DoubleTree by Hilton Missoula/Edgewater
RLSADT	DoubleTree by Hilton Sacramento, CA
RLSCDT	DoubleTree by Hilton Sonoma Wine Country
RMEBHHX	Hampton Inn Rome, NY
RMFHIHI	Hilton Marsa Alam Nubian Resort
RMGAVHX	Hampton Inn Adairsville, GA
RMGHHHX	Hampton Inn Rome, GA
RNOGIGI	Hilton Garden Inn Reno, NV
RNOHSHX	Hampton Inn and Suites Reno, NV
RNOHWHW	Homewood Suites by Hilton Reno, NV
ROAAPHX	Hampton Inn & Suites Roanoke Airport,VA
ROAGIGI	Hilton Garden Inn Roanoke
ROAHHHX	Hampton Inn Roanoke Hollins
ROASAHX	Hampton Inn Salem/Roanoke Area, VA
ROASWDT	Hotel Roanoke & Conference Center
ROCBPHX	Hampton Inn Brockport, NY
ROCCPHW	Homewood Suites by Hilton Rochester-Greece, NY
ROCDTDT	DoubleTree by Hilton Rochester
ROCEMGI	Hilton Garden Inn Rochester-Downtown, NY
ROCFPHX	Hampton Inn & Suites Rochester/Victor, NY
ROCGEHX	Hampton Inn Geneseo, NY
ROCHEHX	Hampton Inn and Suites Rochester/Henrietta, NY
ROCHWHW	Homewood Suites by Hilton Rochester/Henrietta
ROCIRHX	Hampton Inn Rochester/Irondequoit, NY
ROCNYHX	Hampton Inn Rochester North
ROCPTGI	Hilton Garden Inn Rochester/Pittsford, NY
ROCRHHT	Home2 Suites by Hilton Rochester Henrietta, NY
ROCTSDT	DoubleTree by Hilton Strathallen
ROCUAGI	Hilton Garden Inn Rochester/University & Medical Center, NY
ROCVIHW	Homewood Suites Victor, NY
ROCWBHX	Hampton Inn Rochester/Webster, NY
ROGERHX	Hampton Inn and Suites Rogers, MN
ROLLAHX	Hampton Inn Rolla
ROMHIWA	Rome Cavalieri, Waldorf Astoria Hotels & Resorts
ROMRCGI	Hilton Garden Inn Rome Claridge
ROWHSHX	Hampton Inn and Suites Roswell, NM
ROXNCHX	Hampton Inn Roxboro, NC
RPTTXHX	Hampton Inn Rockport/Fulton
RROHIHI	Hilton Sorrento Palace
RSNLAHX	Hampton Inn Ruston
RSTDTDT	DoubleTree by Hilton Rochester-Mayo Clinic Area
RSTMNHX	Hampton Inn Rochester
RSTNOHX	Hampton Inn and Suites Rochester-North, MN
RSTRHGI	Hilton Garden Inn Rochester Downtown
RSTROHW	Homewood Suites Rochester Mayo Clinic Area/ Saint Marys
RSWFMGI	Hilton Garden Inn Fort Myers Airport
RTLHHHX	Hampton Inn Rutland, VT
RTMHITW	Hilton Rotterdam
RUEARHX	Hampton Inn Russellville, AR
RUHAMDI	DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate
RUHROGI	Hilton Garden Inn Riyadh Olaya
RVCHMHW	Homewood Suites by Hilton Rockville-Gaithersburg
RVCNYHX	Hampton Inn and Suites Rockville Centre
RWIDTDT	DoubleTree by Hilton Rocky Mount
RWINCHX	Hampton Inn Rocky Mount
RWLWYHX	Hampton Inn Rawlins, WY
RYEHIHH	Hilton Westchester, NY
RZEGIGI	Hilton Garden Inn Rzeszow
RZZCCGI	Hilton Garden Inn Roanoke Rapids, NC
RZZNCHX	Hampton Inn and Suites Roanoke Rapids, NC
SACABHX	Hampton Inn and Suites Sacramento-Cal Expo, CA
SACCAHW	Homewood Suites by Hilton Sacramento Airport-Natomas
SACCODT	Doubletree by Hilton Guest Suites Sacramento-Rancho Cordova
SACEGHX	Hampton Inn and Suites Sacramento/Elk Grove Laguna I-5
SACESES	Embassy Suites by Hilton Sacramento-Riverfront Promenade
SACFOHX	Hampton Inn and Suites Folsom, CA
SACHHHX	Hampton Inn Sacramento/Rancho Cordova
SACHSHX	Hampton Inn and Suites Roseville, CA
SACNNHX	Hampton Inn and Suites Sacramento-North Natomas, CA
SACRVHW	Homewood Suites by Hilton Sacramento/Roseville
SACWLHX	Hampton Inn and Suites Woodland, CA
SAFCRDT	DoubleTree by Hilton Santa Fe
SAFHAHX	Hampton Santa Fe
SALHIHF	Hilton Princess San Salvador
SANAHHF	Hilton San Diego-Airport
SANBEGI	Hilton Garden Inn San Diego/Rancho Bernardo
SANCBHX	Hampton Inn Carlesbad Airport, CA
SANCCHH	Hilton San Diego Bayfront
SANCEDT	DoubleTree by Hilton San Diego/Del Mar
SANCHGI	Hilton Garden Inn Carlsbad Beach
SANCLDT	DoubleTree Club by Hilton San Diego
SANCMDT	DoubleTree by Hilton Golf Resort San Diego
SANCSHX	Hampton Inn San Diego/Mission Valley, CA
SANDEHW	Homewood Suites by Hilton San Diego-Del Mar
SANDLHX	Hampton Inn San Diego/Del Mar
SANDMHF	Hilton San Diego-Del Mar
SANDNES	Embassy Suites by Hilton San Diego Bay-Downtown
SANDTHX	Hampton Inn San Diego Downtown/Airport Area
SANDWDT	DoubleTree by Hilton San Diego Downtown
SANGQHF	Hilton San Diego Gas Lamp Quarter
SANHIHF	Hilton San Diego Resort
SANHWHW	Homewood Suites by Hilton Carlsbad-North San Diego County
SANLJES	Embassy Suites by Hilton San Diego-La Jolla
SANLSHW	Homewood Suites by Hilton San Diego Arprt/Liberty Station
SANMDGI	Hilton Garden Inn San Diego/Del Mar, CA
SANMVHF	Hilton San Diego Mission Valley
SANNOHX	Hampton Inn San Diego/Kearny Mesa
SANPBHX	Hampton Inn and Suites Pittsburg, CA
SANPYHX	Hampton Inn and Suites San Diego/Poway, CA
SANRSHF	Cape Rey Carlsbad, a Hilton Resort
SANSMHX	Hampton Inn San Diego/San Marcos
SANTPHH	Hilton La Jolla Torrey Pines
SAOMOHH	Hilton Sao Paulo Morumbi
SAPHFHF	Hilton Princess San Pedro Sula
SATAHGI	Hilton Garden Inn San Antonio Airport
SATAIHT	Home2 Suites San Antonio Airport
SATAPHF	Hilton San Antonio-Airport
SATBOHX	Hampton Inn and Suites Boerne, TX
SATBRES	Embassy Suites by Hilton San Antonio-N.W. I-10
SATCSHX	Hampton Inn Carrizo Springs, TX
SATDDHX	Hampton Inn and Suites San Antonio/Northeast I-35, TX
SATDNHW	Homewood Suites by Hilton San Antonio-Riverwalk/Downtown
SATDTHX	Hampton Inn San Antonio Downtown/Riverwalk
SATDWDT	DoubleTree by Hilton San Antonio Downtown, TX
SATEMDT	DoubleTree by Hilton The Emily Morgan Hotel
SATESES	Embassy Suites by Hilton San Antonio Rvrwk DT
SATHCHF	Hilton San Antonio Hill Country Hotel & Spa
SATHHHX	Hampton Inn San Antonio/Northwoods
SATHSHX	Hampton Inn & Suites San Antonio Airport, TX
SATHWHW	Homewood Suites by Hilton San Antonio Northwest
SATITHX	Hampton Inn & Suites San Antonio NW/Medical Center
SATJMES	Embassy Suites by Hilton San Antonio Airport
SATKEHX	Hampton Inn Kenedy, TX
SATLOHX	Hampton Inn Selma-San Antonio
SATNOHW	Homewood Suites By Hilton - San Antonio-North, Tx
SATNSDT	DoubleTree by Hilton San Antonio-Airport
SATNWGI	Hilton Garden Inn New Braunfels, TX
SATPDHF	Hilton Palacio del Rio
SATPLHX	Hampton Inn Pleasanton, TX
SATPSHX	Hampton Inn Pearsall, TX
SATRIHT	Home2 Suites San Antonio Downtown-Riverwalk
SATRPGI	Hilton Garden Inn San Antonio @ the Rim
SATSFHX	Hampton Inn & Suites San Antonio-Downtown/Market Sq
SATSGHX	Hampton Inn Seguin, TX
SATSOHW	Homewood Suites San Antonio Southwest/Sea World
SAVAHGI	Hilton Garden Inn Savannah Airport
SAVAIDT	DoubleTree by Hilton Savannah Airport
SAVAPES	Embassy Suites by Hilton Savannah Airport
SAVATHX	Hampton Inn and Suites Savannah-Airport, GA
SAVDHHF	Hilton Savannah Desoto
SAVESES	Embassy Suites by Hilton Savannah
SAVGWHX	Hampton Inn and Suites Savannah I-95 South/Gateway, GA
SAVHSHX	Hampton Inn and Suites Savannah-Historic District, GA
SAVHTDT	DoubleTree by Hilton Historic Savannah
SAVMDHX	Hampton Inn and Suites Savannah-Midtown, GA
SAVMTGI	Hilton Garden Inn Savannah Midtown, GA
SAVNOHX	Hampton Inn Savannah North
SAVRBHW	Homewood Suites by Hilton Savannah Historic Dist./Riverfront
SAVRHHX	Hampton Inn Savannah/Richmond Hill
SAVSHGI	Hilton Garden Inn Savannah Historic District
SAVWBHW	Homewood Suites by Hilton Savannah
SAYREHX	Hampton Inn Sayre, PA
SBAGOHX	Hampton Inn Goleta, CA
SBAMCDT	Fess Parker's DoubleTree by Hilton Resort
SBDMAHX	Hampton Inn Sturbridge
SBGPAHX	Hampton Inn Stroudsburg/Poconos, PA
SBNGSHX	Hampton Inn Goshen, IN
SBNHSHX	Hampton Inn and Suites South Bend
SBNINGI	Hilton Garden Inn South Bend, IN
SBNSBDT	DoubleTree by Hilton South Bend
SBNSQHX	Hampton Inn and Suites Mishawaka, IN
SBPLOHX	Hampton Inn and Suites San Luis Obispo, CA
SBSCOHX	Hampton Inn and Suites Steamboat Springs
SBTDTDT	DoubleTree by Hilton San Bernardino
SBTSAHX	Hampton Inn and Suites San Bernardino CA
SBTSBHW	Homewood Suites by Hilton San Bernardino CA
SBVOHHX	Hampton Inn Steubenville
SBYFLHX	Hampton Inn and Suites Salisbury/Fruitland,MD
SBYMDHX	Hampton Inn Salisbury, MD
SBYOFHF	Hilton Suites Ocean City Oceanfront
SBZHIHI	Hilton Sibiu
SCECLHX	Hampton Inn State College
SCEHSHX	Hampton Inn and Suites State College @ Williamsburg Square
SCESTGI	Hilton Garden Inn State College
SCHNTDT	DoubleTree by Hilton Schenectady
SCHTXHX	Hampton Inn and Suites Schertz, TX
SCKLOHX	Hampton Inn and Suites Lodi, CA
SCKMTHX	Hampton Inn and Suites Manteca, CA
SCKSTHF	Hilton Stockton
SCLGIGI	Hilton Garden Inn Santiago - Airport, Chile
SCLSVDT	DoubleTree by Hilton Santiago
SCOINHX	Hampton Inn and Suites Scottsburg
SCRCCHF	Hilton Scranton & Conference Center
SCRMAHX	Hampton Inn Matamoras/Milford, PA
SCRPAHX	Hampton Inn Clarks Summit
SCTESES	Embassy Suites by Hilton Scottsdale
SCTGIGI	Hilton Garden Inn Scottsdale Old Town
SCTHHHX	Hampton Inn Phoenix Scottsdale @ Shea
SCTHSHX	Hampton Inn and Suites Phoenix/Scottsdale
SCTMVHW	Homewood Suites by Hilton Phoenix/Scottsdale
SCTNPGI	Hilton Garden Inn Scottsdale North/Perimeter Ctr
SCTRWHX	Hampton Inn and Suites Scottsdale/Riverwalk, AZ
SCTSHHF	Hilton Scottsdale
SCVOHHX	Hampton Inn Wheeling/St. Clairsville
SDFAHGI	Hilton Garden Inn Louisville Airport
SDFAPHX	Hampton Inn Louisville Airport
SDFBRHX	Hampton Inn Louisville @ Brooks Road
SDFCVHX	Hampton Inn Louisville North/Clarksville
SDFDNES	Embassy Suites by Hilton Louisville Downtown
SDFDTHX	Hampton Inn Louisville-Downtown, KY
SDFEAHW	Homewood Suites by Hilton Louisville East
SDFEMES	Embassy Suites by Hilton Louisville
SDFHSHX	Hampton Inn and Suites Louisville-East, KY
SDFKYHX	Hampton Inn Louisville-Northeast, KY
SDFLDGI	Hilton Garden Inn Louisville Downtown, KY
SDFLEGI	Hilton Garden Inn Louisville East
SDFNAHX	Hampton Inn New Albany
SDFNEGI	Hilton Garden Inn Louisville/Northeast, KY
SDFSHHF	Hilton Louisville-Seelbach
SDGODT	DoubleTree by Hilton San Diego Mission Valley
SDQSDES	Embassy Suites by Hilton Santo Domingo
SDXSEHH	Hilton Sedona  Resort at Bell Rock
SDYUTHX	Hampton Inn Salt Lake City/Sandy
SEAACDT	DoubleTree by Hilton Arctic Club Hotel Seattle - Downtown
SEAAHHH	Hilton Seattle Airport & Conference Center
SEABLES	Embassy Suites by Hilton Seattle-Bellevue
SEABOGI	Hilton Garden Inn Seattle/Bothell, WA
SEADPHX	Hampton Inn & Suites Dupont, WA
SEADTHX	Hampton Inn and Suites Seattle Downtown
SEAEDHX	Hampton Inn Seattle/Everett Downtown, WA
SEAFWHX	Hampton Inn and Suites Seattle/Federal Way, WA
SEAHMHW	Homewood Suites by Hilton Seattle-Conv Ctr-Pike Street
SEAHWHW	Homewood Suites by Hilton Seattle Downtown
SEAHXHX	Hampton Inn and Suites Tacoma South, WA
SEAIAHX	Hampton Inn & Suites Seattle Airport 28Th Avenue
SEAISGI	Hilton Garden Inn Seattle/Issaquah
SEAKTHX	Hampton Inn and Suites Seattle Kent, WA
SEALWES	Embassy Suites by Hilton Seattle-North-Lynnwood
SEALYHX	Hampton Inn and Suites Seattle North/Lynnwood
SEANNHW	Homewood Suites by Hilton Seattle - Lynnwood, WA
SEANPHX	Hampton Inn and Suites Seattle-Bellevue Downtown, WA
SEARHGI	Hilton Garden Inn Seattle/Renton
SEASHHF	Hilton Seattle
SEASOHX	Hampton Inn Seattle/Southcenter
SEASPDT	DoubleTree Suites by Hilton Seattle
SEATKHW	Homewood Suites Seattle / Tukwila, WA
SEATUES	Embassy Suites by Hilton Seattle-Tacoma International Aprt
SEAUKHT	Home2 Suites Seattle Airport
SEEMAHX	Hampton Inn Seekonk
SELCICI	Conrad Seoul
SELHITW	Millennium Seoul Hilton
SELNCHX	Hampton Inn Selma/Smithfield
SEZDTDI	DoubleTree by Hilton Seychelles - Allamanda Resort & Spa
SEZHIHI	Hilton Seychelles Northolme Resort & Spa
SEZLBHI	Hilton Seychelles Labriz Resort & Spa
SFDDEHX	Hampton Inn Seaford
SFECGHH	Hilton Santa Fe Buffalo Thunder, NM
SFEHIHF	Hilton Santa Fe
SFEHWHW	Homewood Suites by Hilton Santa Fe-North, NM
SFOANGI	Hilton Garden Inn San Francisco Airport North
SFOAODT	DoubleTree by Hilton San Francisco Airport
SFOAPHF	Hilton San Francisco Airport
SFOATHW	Homewood Suites by Hilton San Francisco Airport North, CA
SFOBBGI	Hilton Garden Inn San Francisco/Oakland Bay Bridge
SFOBGES	Embassy Suites by Hilton San Francisco-Airport
SFOCCHX	Hampton San Francisco CC
SFODCHX	Hampton Inn San Francisco/Daly City
SFOEMHW	Homewood Suites Oakland-Waterfront
SFOFDHF	Hilton San Francisco Financial District
SFOFHHH	Hilton San Francisco Union Square
SFOFMHX	Hampton Inn Fremont, CA
SFOHHHX	Hampton San Francisco Airport
SFOHSHX	Hampton San Francisco/Burlingame
SFOHWHX	Hampton Inn San Francisco Bay/Hayward
SFOMPHX	Hampton Inn Milpitas
SFONODT	DoubleTree by Hilton San Francisco Airport North
SFOPHES	Embassy Suites by Hilton Pleasant Hill-Walnut Creek
SFORFES	Embassy Suites by Hilton San Rafael-Conf Center
SFOSFHH	Parc 55 San Francisco A Hilton Hotel
SFOSMGI	Hilton Garden Inn San Mateo
SFOSOES	Embassy Suites by Hilton SFO Airport South
SFQGIGI	Hilton Garden Inn Sanliurfa
SFYLXHX	Hampton Inn and Suites Berkshires/Lenox, MA
SFYMAGI	Hilton Garden Inn Springfield, MA
SGFDTDT	DoubleTree by Hilton Springfield
SGFLBHX	Hampton Inn Lebanon
SGFMOGI	Hilton Garden Inn Springfield
SGHOHHX	Hampton Inn Springfield, OH
SGJBHHX	Hampton Inn St. Augustine Beach
SGJDTHX	Hampton Inn St. Augustine Historic District
SGJFLHX	Hampton Inn St.Augustine
SGJVBHX	Hampton Inn and Suites St. Augustine/Vilano Beach
SGOOHHX	Hampton Inn and Suites Springboro/Dayton Area South, OH
SGUGIGI	Hilton Garden Inn St. George, UT
SGUHHHX	Hampton Inn St. George
SGUZIHX	Hampton Inn and Suites Springdale/Zion National Park, UT
SGVPAHX	Hampton Inn Selinsgrove/Shamokin Dam
SHEWYHX	Hampton Inn Sheridan, WY
SHIVAHX	Hampton Inn South Hill
SHJHITW	Hilton Fujairah Resort
SHJHSHI	Hilton Sharjah
SHMTXHX	Hampton Inn Sherman
SHNOKHX	Hampton Inn Shawnee
SHVBCHX	Hampton Inn Shreveport Bossier City
SHVBSHX	Hampton Inn and Suites Shreveport/Bossier City, LA
SHVHWHW	Homewood Suites Shreveport
SHVLAHX	Hampton Inn Shreveport Airport
SHVMRHW	Homewood Suites Shreveport/Bossier City
SHVOMGI	Hilton Garden Inn Shreveport Bossier City
SHVSHGI	Hilton Garden Inn Shreveport
SHVSOHX	Hampton Inn and Suites Shreveport/South, LA
SHVSPHF	Hilton Shreveport
SIDHHHX	Hampton Inn Sidney
SINCICI	Conrad Centennial Singapore
SINHITW	Hilton Singapore
SJCAPHX	Hampton Inn and Suites San Jose, Costa Rica
SJCCCQQ	Juniper Hotel-Curio Collection By Hilton
SJCCHGI	Hilton Garden Inn Cupertino
SJCCRHX	Hampton Inn Morgan Hill, CA
SJCGHGI	Hilton Garden Inn Gilroy
SJCHSHX	Hampton Inn and Suites San Jose
SJCMHGI	Hilton Garden Inn San Jose/Milpitas
SJCMVGI	Hilton Garden Inn Mountain View
SJCPPDT	DoubleTree by Hilton Campbell
SJCSCHF	Hilton Santa Clara
SJCSHHF	Hilton San Jose
SJCSVHF	Hilton Santa Cruz-Scotts Valley
SJDLCHH	Hilton Los Cabos
SJNCCHH	Condado Lagoon Villas At Caribe Hilton
SJNHIHH	Caribe Hilton
SJODTDT	DoubleTree by Hilton Cariari San Jose
SJOLAGI	Hilton Garden Inn Liberia Airport
SJTCHHX	Hampton Inn San Angelo
SJTWHHT	Home2 Suites by Hilton San Angelo, TX
SJUCOHH	The Condado Plaza Hilton
SJUDTDT	DoubleTree by Hilton San Juan
SJUELHH	El San Juan Hotel & Casino, PR
SJUESES	Embassy Suites by Hilton San Juan Hotel & Casino
SJUGDWA	El Conquistador Resort, PR
SJUHHHX	Hampton Inn San Juan, Puerto Rico
SJULCWA	Las Casitas Resort, Puerto Rico
SKAWAHX	Hampton Inn Spokane
SKYMIHX	Hampton Inn and Suites Sandusky/Milan, OH
SKYOHHX	Hampton Inn Sandusky Central
SLBJAHX	Hampton Inn Salisbury, NC
SLCAPGI	Hilton Garden Inn Salt Lake City Airport, UT
SLCARDT	DoubleTree by Hilton Salt Lake-Airport
SLCCCHH	Hilton Salt Lake City Center
SLCDMWA	Waldorf Astoria Park City, UT
SLCDTHX	Hampton Inn Salt Lake City Downtown
SLCDWGI	Hilton Garden Inn Salt Lake City Downtown, UT
SLCFHHX	Hampton Inn and Suites Salt Lake City-Univ/Foothill Dr, UT
SLCFUHW	Homewood Suites by Hilton Salt Lake City - Midvale/Sandy
SLCHSHX	Hampton Inn and Suites Salt Lake City Airport
SLCHWHW	Homewood Suites by Hilton Salt Lake City Downtown, UT
SLCLAGI	Hilton Garden Inn Salt Lake City/Layton
SLCLNHT	Home2 Suites by Hilton Layton, UT
SLCLYHX	Hampton Inn Salt Lake City-Layton
SLCMUHT	Home2 Suites by Hilton Salt Lake City-Murray, UT
SLCMYHX	Hampton Inn Salt Lake City/Murray
SLCNOHX	Hampton Inn Salt Lake City North
SLCPCHX	Hampton Inn and Suites Park City
SLCRRHX	Hampton Inn Salt Lake City Central
SLCSEGV	Sunrise Lodge, Hilton Grand Vacations
SLCSJHT	Home2 Suites Salt Lake City/South Jordan
SLCSMES	Embassy Suites by Hilton Salt Lake City/West Valley
SLCSYGI	Hilton Garden Inn Salt Lake City/Sandy
SLCTPHT	Home2 Suites by Hilton Lehi/Thanksgiving Point, UT
SLCWJHX	Hampton Inn and Suites West Jordan, UT
SLCWSDT	DoubleTree Suites by Hilton Salt Lake City Downtown
SLCWVHT	Home2 Suites by Hilton Salt Lake City/West Valley City, UT
SLCYWDT	DoubleTree by Hilton Park City - The Yarrow
SLDCOHX	Hampton Inn and Suites Salida, CO
SLENSDT	DoubleTree by Hilton Salem
SLEORHX	Hampton Inn and Suites Salem, OR
SLNKSHX	Hampton Inn Salina
SLOAGHX	Hampton Inn and Suites Arroyo Grande/Pismo Beach Area, CA
SLOCAES	Embassy Suites by Hilton San Luis Obispo
SLOPBGI	Hilton Garden Inn San Luis Obispo/Pismo Beach, CA
SLPHHHH	Hilton San Louis Potosi
SLPLAHX	Hampton Inn Sulphur, LA
SLRTXHX	Hampton Inn Sulphur Springs, TX
SLWHAHX	Hampton Inn Saltillo Airport
SLWHSHX	Hampton Inn and Suites Stillwater
SLWMXDT	DoubleTree Suites by Hilton Saltillo,Mexico
SMAALHX	Hampton Inn Selma
SMEKYHX	Hampton Inn Somerset, KY
SMFEGGI	Hilton Garden Inn Sacramento/Elk Grove, CA
SMFFHGI	Hilton Garden Inn Folsom
SMFHIHF	Hilton Sacramento-Arden West
SMFRHGI	Hilton Garden Inn Roseville
SMFSNGI	Hilton Garden Inn Sacramento-South/Natomas, CA
SMFWEHX	Hampton Inn and Suites West Sacramento, CA
SMLSCHX	Hampton Inn Summerville
SMOPCDT	DoubleTree Suites by Hilton Santa Monica
SNAAHHH	Hilton Anaheim
SNAAOES	Embassy Suites by Hilton Anaheim/Orange
SNACAGI	Hilton Garden Inn Fontana, CA
SNACCDT	DoubleTree by Hilton Anaheim/Orange County
SNACMHH	Hilton Orange County/Costa Mesa
SNADCDT	DoubleTree Suites by Hilton Anaheim Resort-Convention Center
SNAFMDT	DoubleTree Club by Hilton Orange County Airport
SNAGGGI	Hilton Garden Inn Anaheim/Garden Grove
SNAIJGI	Hilton Garden Inn Irvine/ Orange County Airport
SNAIRGI	Hilton Garden Inn Irvine East/Lake Forest
SNAOCHF	Hilton Irvine-Orange County-Airport
SNAPEDT	DoubleTree Suites by Hilton Doheny Beach
SNCCAES	Embassy Suites by Hilton Santa Clara-Silicon Valley
SNFNCHX	Hampton Inn Sanford
SNMESES	Embassy Suites by Hilton San Marcos-Hotel,Spa & Conf Ctr
SNMTXHX	Hampton Inn and Suites San Marcos
SNPNCHX	Hampton Inn and Suites Southern Pines/Pinehurst, NC
SNSCAHX	Hampton Inn and Suites Salinas, CA
SNTSCHX	Hampton Inn Santee
SNWNBHI	Hilton Ngapali Resort & Spa
SNYNEHX	Hampton Inn Sidney, NE
SOMPAHX	Hampton Inn Somerset, PA
SOPNCHW	Homewood Suites by Hilton Olmsted Village-Pinehurst, NC
SOUAGHI	Hilton at the Ageas Bowl, Southampton
SOUHNHN	Hilton Southampton
SOWAZHX	Hampton Inn and Suites Show Low/Pine Top, AZ
SPAHSHX	Hampton Spartanburg-I-26-Westgate Mall
SPASCHX	Hampton Inn Spartanburg North
SPCCDT	DoubleTree by Hilton Spokane-City Center
SPFRDHX	Hampton Inn West Springfield
SPFTSHX	Hampton Inn Spearfish, SD
SPGTNHX	Hampton Inn Springfield, TN
SPHFLHX	Hampton Inn Spring Hill
SPIASDT	The President Abraham Lincoln Springfield, A DT by Hilton
SPIDKHX	Hampton Inn Springfield, IL
SPIGIGI	Hilton Garden Inn Springfield, IL
SPIILHX	Hampton Inn and Suites Springfield Southwest
SPILNHX	Hampton Inn Lincoln, IL
SPLNJHX	Hampton Inn South Plainfield, NJ
SPLSOHI	Hilton Royal Parc Soestduinen
SPRSHHF	Hilton Springfield, VA
SPSHWHW	Homewood Suites by Hilton Wichita Falls, TX
SPSSSHX	Hampton Inn Wichita Falls-Sikes Senter Mall, TX
SPSVEHX	Hampton Inn Vernon, TX
SPTNCHX	Hampton Inn Southport
SPTSHHF	Hilton St. Petersburg
SRQATHX	Hampton Inn and Suites Sarasota-Airport, FL
SRQDTHX	Hampton Inn Bradenton Downtown Historic District, FL
SRQELHX	Hampton Inn Ellenton
SRQFLHX	Hampton Inn Sarasota/Bee Ridge
SRQHWHW	Homewood Suites by Hilton Sarasota, FL
SRQNBGI	Hilton Garden Inn Sarasota Bradenton Airport
SRQUPHX	Hampton Inn and Suites Sarasota/Lakewood Ranch, FL
SRZEQHX	Hampton Inn Santa Cruz/Equipetrol, Bolivia
SSHDRHI	Hilton Sharm Dreams Resort
SSHSBHI	Hilton Sharks Bay Resort
