AANHITW	Hilton Al Ain
AVPSCHX	Hampton Inn Scranton @ Montage Mountain
AVPWIGI	Hilton Garden Inn Wilkes Barre
AXEHWHW	Homewood Suites by Hilton Alexandria/Pentagon South, VA
AXEVAHX	Hampton Inn Alexandria Pentagon S, VA
AXNMNHX	Hampton Inn and Suites Alexandria, MN
AXSOKHX	Hampton Inn and Suites Altus, OK
AYSHHHX	Hampton Inn Waycross
AZOKAHX	Hampton Inn Kalamazoo, MI
AZOKPHW	Homewood Suites by Hilton Kalamazoo/Portage, MI
AZOOMHX	Hampton Inn and Suites Kalamazoo
BALAMHX	Hampton Inn and Suites Baltimore/Arundel Mills
BALARHW	Homewood Suites by Hilton - Baltimore/Arundel Mills, MD
BALATHX	Hampton Inn Baltimore/Washington Inter. Airport
BALBAHW	Homewood Suites by Hilton Bel Air, MD
BALBWHW	Homewood Suites by Hilton Baltimore/Washington Intl Apt
BALCBHX	Hampton Inn Columbia
BALCLHW	Homewood Suites by Hilton Columbia, MD
BALCMHW	Homewood Suites by Hilton Columbia/Laurel, MD
BALCOHX	Hampton Inn and Suites Columbia-South, MD
BALCYHX	Hampton Inn Baltimore/Camden Yards, MD
BALEGHX	Hampton Inn & Suites Baltimore/Aberdeen-South
BALGRHX	Hampton Inn Baltimore/Glen Burnie
BALHVES	Embassy Suites by Hilton Baltimore-North
BALHWHW	Homewood Suites by Hilton Baltimore, MD
BALIAES	Embassy Suites by Hilton Baltimore-At BWI Airport
BALIHHX	Hampton Inn and Suites Baltimore Inner Harbor
BALWHHT	Home2 Suites by Hilton Baltimore/White Marsh, MD
BALWLHX	Hampton Inn and Suites Baltimore/Woodlawn, MD
BALWMHX	Hampton Inn Baltimore/White Marsh
BAQACGI	Hilton Garden Inn Barranquilla
BAQHXHX	Hampton Inn Barranquilla, Colombia
BASINHN	Hilton Basingstoke
BATHNHN	Hilton Bath City
BATMSHX	Hampton Inn Batesville
BCBGIGI	Hilton Garden Inn Blacksburg, VA
BCNDMHI	Hilton Diagonal Mar Barcelona
BCNHITW	Hilton Barcelona
BCNLMDI	DoubleTree by Hilton Hotel & Conference Centre La Mola
BCNMADI	Alexandra Barcelona, a DoubleTree by Hilton
BCTBCWA	Boca Beach Club, FL
BCTBRGI	Hilton Garden Inn Boca Raton
BCTECDT	Waterstone - A DT Resort By Hilton
BCTFLHX	Hampton Inn Boca Raton
BCTHSHF	Hilton Suites Boca Raton
BCTNWES	Embassy Suites by Hilton Boca Raton
BCTRCWA	Boca Raton Resort & Club
BDGNJHX	Hampton Inn Philadelphia/Bridgeport
BDLCDDT	DoubleTree by Hilton Bristol, CT
BDLETDT	DoubleTree by Hilton Bradley-International Airport
BDLGHGI	Hilton Garden Inn Hartford South/Glastonbury
